datetime,assim_c,ddage,mgl,mo,RM,tempRM,RMpr,fgl,fr,fo,fggl,fgr,fgo,GT,available,gr_gl,gr_r,gr_o,gr_dl,wgl,wr,wo,maint,rootd
2017-11-30 18:00:00,1.9749099836634918,0.0,11.674414648396906,0.0,11.674414648396906,0.9332372571943686,0.9332372571943686,0.9225814396470914,0.07741856035290866,0.0,1.3497366462036948,0.1117924011496001,0.0,1.461529047353295,0.598691549660695,0.5523417117905122,0.04634983787018293,0.0,0.0,389.69949665835406,33.14025920930677,0.0,1.3762184340027968,0.8614999999999605
2017-11-30 19:00:00,2.5951767614673584,0.0,11.690984899750621,0.0,11.690984899750621,0.4871243708229425,0.4871243708229425,0.9225851349860886,0.07741486501391137,0.0,1.3497420524846477,0.11178706508008801,0.0,1.4615291175647358,1.2115831199393647,1.1177885762561253,0.09379454368323951,0.0,0.0,390.8172852346102,33.23405375299001,0.0,1.3835936415279937,0.8619999999999605
2017-11-30 20:00:00,2.5951767614673584,0.0,11.724518557038305,0.0,11.724518557038305,0.4885216065432627,0.4885216065432627,0.9225888319242337,0.07741116807576637,0.0,1.3497474611051539,0.11178172670140663,0.0,1.4615291878065606,1.2107800137690121,1.1170521186203606,0.09372789514865171,0.0,0.0,391.93433735323055,33.32778164813866,0.0,1.3843967476983463,0.8624999999999604
2017-11-30 21:00:00,2.5951767614673584,0.0,11.758030120596915,0.0,11.758030120596915,0.48991792169153814,0.48991792169153814,0.9225925304615264,0.0774074695384736,0.0,1.3497528720652132,0.11177638601355588,0.0,1.461529258078769,1.2099774367407021,1.1163161451639558,0.09366129157674627,0.0,0.0,393.0506534983945,33.421442939715405,0.0,1.3851993247266563,0.8629999999999604
2017-11-30 22:00:00,2.5951767614673584,0.0,11.791519604951835,0.0,11.791519604951835,0.4913133168729931,0.4913133168729931,0.9225962305979669,0.07740376940203313,0.0,1.3497582853648256,0.11177104301653583,0.0,1.4615293283813613,1.2091753885065617,1.1155806555679861,0.09359473293857572,0.0,0.0,394.16623415396253,33.51503767265398,0.0,1.3860013729607967,0.8634999999999603
2017-11-30 23:00:00,2.5951767614673584,0.0,11.824987024618876,0.0,11.824987024618876,0.49270779269245313,0.49270779269245313,0.9225999323335552,0.07740006766644489,0.0,1.3497637010039913,0.11176569771034642,0.0,1.4615293987143378,1.2083738687189467,1.1148456495137364,0.09352821920521026,0.0,0.0,395.28107980347625,33.60856589185919,0.0,1.3868028927484117,0.8639999999999602
2017-12-01 00:00:00,2.5951767614673584,0.0,11.858432394104288,0.0,11.858432394104288,0.4941013497543453,0.4941013497543453,0.9226036356682911,0.07739636433170893,0.0,1.34976911898271,0.11176035009498769,0.0,1.4615294690776977,1.2075728770304428,1.1141111266827046,0.0934617503477381,0.0,0.0,396.39519093015895,33.70202764220693,0.0,1.3876038844369156,0.8644999999999602
2017-12-01 01:00:00,2.5951767614673584,0.0,11.891855727904767,0.0,11.891855727904767,0.4954939886626986,0.4954939886626986,0.9226073406021749,0.07739265939782523,0.0,1.349774539300982,0.11175500017045964,0.0,1.4615295394714416,1.2067724130938633,1.1133770867565984,0.09339532633726501,0.0,0.0,397.50856801691555,33.795422968544194,0.0,1.3884043483734951,0.8649999999999601
2017-12-01 02:00:00,2.5951767614673584,0.0,11.925257040507466,0.0,11.925257040507466,0.4968857100211444,0.4968857100211444,0.9226110471352063,0.07738895286479379,0.0,1.349779961958807,0.11174964793676223,0.0,1.4615296098955692,1.2059724765622508,1.1126435294173362,0.09332894714491466,0.0,0.0,398.62121154633286,33.888751915689106,0.0,1.3892042849051076,0.8654999999999601
2017-12-01 03:00:00,2.5951767614673584,0.0,11.958636346389985,0.0,11.958636346389985,0.49827651443291604,0.49827651443291604,0.9226147552673855,0.07738524473261461,0.0,1.3497853869561849,0.1117442933938955,0.0,1.4615296803500804,1.2051730670888765,1.1119104543470482,0.09326261274182848,0.0,0.0,399.7331220006799,33.98201452843094,0.0,1.390003694378482,0.86599999999996
